# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun  8 19:25:14 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=.0837, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.020322 0.15000 8.84510 0.0903934836 1.0854482651    0.090 -3.343  3.3615  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-17      0.00 6.948e-01 2.848e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 13.126 22.153 19.751 17.954 15.860 13.638 11.059 10.445 10.124
0.020322 0.15000 8.84510 0.0985201225 1.1586241722    0.098 -3.241  3.3769  5.132    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.32e-17      0.00 6.948e-01 2.848e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 12.871 21.892 19.493 17.697 15.604 13.383 10.804 10.191 9.868
0.020322 0.15000 8.84510 0.1003875211 1.1743353605    0.100 -3.215  3.3805  5.129    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.65e-17      0.00 6.948e-01 2.848e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 12.808 21.823 19.428 17.633 15.541 13.320 10.741 10.128 9.805
0.020322 0.15000 8.84510 0.1192446053 1.3143165112    0.119 -3.011  3.4078  5.108    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.99e-17      0.00 6.948e-01 2.848e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 12.296 21.273 18.900 17.111 15.026 12.808 10.230 9.617 9.293
0.020322 0.15000 8.84510 0.1203756034 1.3217859268    0.120 -2.999  3.4094  5.107    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-16      0.00 6.948e-01 2.848e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 12.268 21.243 18.871 17.082 14.998 12.780 10.202 9.589 9.265
0.020322 0.15000 8.84510 0.1403636783 1.4404109716    0.140 -2.815  3.4306  5.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-16      0.00 6.947e-01 2.849e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 11.808 19.994 17.875 16.145 14.227 12.125 9.772 9.160 8.836
0.020322 0.15000 8.84510 0.1463043839 1.4714950323    0.146 -2.780  3.4350  5.075    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-16      0.00 6.947e-01 2.849e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 11.720 19.704 17.639 15.927 14.053 11.983 9.693 9.081 8.758
0.020322 0.15000 8.84510 0.1571177840 1.5240694284    0.157 -2.704  3.4428  5.061    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-16      0.00 6.947e-01 2.849e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 11.530 19.133 17.176 15.499 13.706 11.696 9.520 8.907 8.588
0.020322 0.15000 8.84510 0.1677538902 1.5713832378    0.168 -2.639  3.4488  5.049    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-16      0.00 6.947e-01 2.849e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 11.367 18.684 16.807 15.156 13.424 11.461 9.371 8.757 8.441
0.020322 0.15000 8.84510 0.1992293447 1.6912580729    0.199 -2.475  3.4634  5.018    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-16      0.00 6.946e-01 2.850e-01 3.667e-03 9.893e-04 8.972e-03 -1.000 2.039e-02 10.958 17.641 15.935 14.329 12.737 10.898 8.996 8.381 8.072
